"Estado"	"Datos"	"Serie"	"Lavoura"
"Minas Gerais"	2018-11-01	127503	"Cana-de-Açúcar"
"Minas Gerais"	2018-12-01	115010	"Cana-de-Açúcar"
"Minas Gerais"	2019-01-01	62632	"Cana-de-Açúcar"
"Minas Gerais"	2019-02-01	3000	"Cana-de-Açúcar"
"Minas Gerais"	2019-03-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2019-04-01	683868	"Cana-de-Açúcar"
"Minas Gerais"	2019-05-01	431332	"Cana-de-Açúcar"
"Minas Gerais"	2019-06-01	1668424	"Cana-de-Açúcar"
"Minas Gerais"	2019-07-01	245842	"Cana-de-Açúcar"
"Minas Gerais"	2019-08-01	73120	"Cana-de-Açúcar"
"Minas Gerais"	2019-09-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2019-10-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2019-11-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2019-12-01	46464	"Cana-de-Açúcar"
"Minas Gerais"	2020-01-01	15168	"Cana-de-Açúcar"
"Minas Gerais"	2020-02-01	12560	"Cana-de-Açúcar"
"Minas Gerais"	2020-03-01	7682	"Cana-de-Açúcar"
"Minas Gerais"	2020-04-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2020-05-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2020-06-01	1037915	"Cana-de-Açúcar"
"Minas Gerais"	2020-07-01	9226	"Cana-de-Açúcar"
"Minas Gerais"	2020-08-01	1005093	"Cana-de-Açúcar"
"Minas Gerais"	2020-09-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2020-10-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2020-11-01	NA	"Cana-de-Açúcar"
"Minas Gerais"	2020-12-01	NA	"Cana-de-Açúcar"
"São Paulo"	2018-02-01	8178418	"Cana-de-Açúcar"
"São Paulo"	2018-03-01	2328383	"Cana-de-Açúcar"
"São Paulo"	2018-04-01	12050	"Cana-de-Açúcar"
"São Paulo"	2018-05-01	146428	"Cana-de-Açúcar"
"São Paulo"	2018-06-01	291	"Cana-de-Açúcar"
"São Paulo"	2018-07-01	8300	"Cana-de-Açúcar"
"São Paulo"	2018-08-01	7158	"Cana-de-Açúcar"
"São Paulo"	2018-09-01	NA	"Cana-de-Açúcar"
"São Paulo"	2018-10-01	2200	"Cana-de-Açúcar"
"São Paulo"	2018-11-01	57035	"Cana-de-Açúcar"
"São Paulo"	2018-12-01	18100	"Cana-de-Açúcar"
"São Paulo"	2019-01-01	17308	"Cana-de-Açúcar"
"São Paulo"	2019-02-01	1783	"Cana-de-Açúcar"
"São Paulo"	2019-03-01	0	"Cana-de-Açúcar"
"São Paulo"	2019-04-01	333882	"Cana-de-Açúcar"
"São Paulo"	2019-05-01	498355	"Cana-de-Açúcar"
"São Paulo"	2019-06-01	1105360	"Cana-de-Açúcar"
"São Paulo"	2019-07-01	31551	"Cana-de-Açúcar"
"São Paulo"	2019-08-01	86100	"Cana-de-Açúcar"
"São Paulo"	2019-09-01	2482	"Cana-de-Açúcar"
"São Paulo"	2019-10-01	NA	"Cana-de-Açúcar"
"São Paulo"	2019-11-01	NA	"Cana-de-Açúcar"
"São Paulo"	2019-12-01	53071	"Cana-de-Açúcar"
"São Paulo"	2020-01-01	8400	"Cana-de-Açúcar"
"São Paulo"	2020-02-01	8700	"Cana-de-Açúcar"
"São Paulo"	2020-03-01	13400	"Cana-de-Açúcar"
"São Paulo"	2020-04-01	NA	"Cana-de-Açúcar"
"São Paulo"	2020-05-01	NA	"Cana-de-Açúcar"
"São Paulo"	2020-06-01	215492	"Cana-de-Açúcar"
"São Paulo"	2020-07-01	237	"Cana-de-Açúcar"
"São Paulo"	2020-08-01	5033156	"Cana-de-Açúcar"
"São Paulo"	2020-09-01	NA	"Cana-de-Açúcar"
"São Paulo"	2020-10-01	NA	"Cana-de-Açúcar"
"São Paulo"	2020-11-01	NA	"Cana-de-Açúcar"
"São Paulo"	2020-12-01	17	"Cana-de-Açúcar"
